"","stk","Model","Yrs","variable","value"
"110","yft","Catch & Priors","10","t5",-0.0399343868981006
"111","yft","Catch & Priors","All","t23",1.16721998043495
"112","yft","Catch & Priors","All","t5",-0.0211274000735881
"113","yft","Catch-MSY","10","t23",1.12539838044177
"114","yft","Catch-MSY","10","t5",0.0395542348196137
"115","yft","Catch-MSY","All","t23",1.00111871763703
"116","yft","Catch-MSY","All","t5",-0.00347652051338008
"117","yft","OM","10","t23",0.976816502057037
"118","yft","OM","10","t5",-0.0195097399447731
"119","yft","OM","All","t23",0.976816502057037
"120","yft","OM","All","t5",-0.0195097399447731
